,pelicula_id,puesto,crew_nombre,franquicia,compañia,pais,presupuesto_y,idioma_original,titulo_original,fecha_realizacion,recaudacion_y,duracion,año_realizacion,ganancia
0,862,Director,John Lasseter,Toy Story Collection,Pixar Animation Studios,United States of America,30000000.0,en,Toy Story,1995-10-30,373554033.0,81.0,1995,12.4518011
117,15602,Director,Howard Deutch,Grumpy Old Men Collection,Warner Bros.,United States of America,0.0,en,Grumpier Old Men,1995-12-22,0.0,101.0,1995,0.0
118,15602,Director,Howard Deutch,Grumpy Old Men Collection,Lancaster Gate,United States of America,0.0,en,Grumpier Old Men,1995-12-22,0.0,101.0,1995,0.0
229,11862,Director,Charles Shyer,Father of the Bride Collection,Sandollar Productions,United States of America,0.0,en,Father of the Bride Part II,1995-02-10,76578911.0,106.0,1995,inf
230,11862,Director,Charles Shyer,Father of the Bride Collection,Touchstone Pictures,United States of America,0.0,en,Father of the Bride Part II,1995-02-10,76578911.0,106.0,1995,inf
277,710,Director,Martin Campbell,James Bond Collection,United Artists,United Kingdom,58000000.0,en,GoldenEye,1995-11-16,352194034.0,130.0,1995,6.072310931034483
278,710,Director,Martin Campbell,James Bond Collection,United Artists,United States of America,58000000.0,en,GoldenEye,1995-11-16,352194034.0,130.0,1995,6.072310931034483
279,710,Director,Martin Campbell,James Bond Collection,Eon Productions,United Kingdom,58000000.0,en,GoldenEye,1995-11-16,352194034.0,130.0,1995,6.072310931034483
280,710,Director,Martin Campbell,James Bond Collection,Eon Productions,United States of America,58000000.0,en,GoldenEye,1995-11-16,352194034.0,130.0,1995,6.072310931034483
3157,21032,Director,Simon Wells,Balto Collection,Universal Pictures,United States of America,0.0,en,Balto,1995-12-22,11348324.0,78.0,1995,inf
3158,21032,Director,Simon Wells,Balto Collection,Amblin Entertainment,United States of America,0.0,en,Balto,1995-12-22,11348324.0,78.0,1995,inf
3159,21032,Director,Simon Wells,Balto Collection,Amblimation,United States of America,0.0,en,Balto,1995-12-22,11348324.0,78.0,1995,inf
4210,9273,Director,Steve Oedekerk,Ace Ventura Collection,O Entertainment,United States of America,30000000.0,en,Ace Ventura: When Nature Calls,1995-11-10,212385533.0,90.0,1995,7.079517766666667
4211,9273,Director,Steve Oedekerk,Ace Ventura Collection,Warner Bros.,United States of America,30000000.0,en,Ace Ventura: When Nature Calls,1995-11-10,212385533.0,90.0,1995,7.079517766666667
4212,9273,Director,Steve Oedekerk,Ace Ventura Collection,Morgan Creek Productions,United States of America,30000000.0,en,Ace Ventura: When Nature Calls,1995-11-10,212385533.0,90.0,1995,7.079517766666667
5425,8012,Director,Barry Sonnenfeld,Chili Palmer Collection,Jersey Films,United States of America,30250000.0,en,Get Shorty,1995-10-20,115101622.0,105.0,1995,3.805012297520661
5426,8012,Director,Barry Sonnenfeld,Chili Palmer Collection,Metro-Goldwyn-Mayer (MGM),United States of America,30250000.0,en,Get Shorty,1995-10-20,115101622.0,105.0,1995,3.805012297520661
6001,9598,Director,Chris Noonan,Babe Collection,Universal Pictures,Australia,30000000.0,en,Babe,1995-07-18,254134910.0,89.0,1995,8.471163666666667
6002,9598,Director,Chris Noonan,Babe Collection,Universal Pictures,United States of America,30000000.0,en,Babe,1995-07-18,254134910.0,89.0,1995,8.471163666666667
6003,9598,Director,Chris Noonan,Babe Collection,Kennedy Miller Productions,Australia,30000000.0,en,Babe,1995-07-18,254134910.0,89.0,1995,8.471163666666667
6004,9598,Director,Chris Noonan,Babe Collection,Kennedy Miller Productions,United States of America,30000000.0,en,Babe,1995-07-18,254134910.0,89.0,1995,8.471163666666667
