,titulo_original,recomendaciones
0,Toy Story,"['Toy Story 2', 'Toy Story 3', 'Toy Story 3', 'The Stig-Helmer Story', 'A Christmas Story']"
1,Grumpier Old Men,"['Grumpier Old Men', 'Grumpy Old Men', 'Grumpy Old Men', 'Grumpy Old Men', 'X-Men']"
2,Father of the Bride Part II,"['Father of the Bride Part II', 'Father of the Bride', 'Father of the Bride', 'Bride of Boogedy', 'Bride of Frankenstein']"
3,GoldenEye,"['GoldenEye', 'GoldenEye', 'GoldenEye', 'Toy Story', 'Grumpier Old Men']"
4,Balto,"['Balto', 'Balto', 'Balto II: Wolf Quest', 'Balto III: Wings of Change', 'Toy Story']"
5,Ace Ventura: When Nature Calls,"['Ace Ventura: When Nature Calls', 'Ace Ventura: When Nature Calls', 'When a Stranger Calls', 'When a Stranger Calls', 'When a Stranger Calls']"
6,Get Shorty,"['Get Shorty', 'Get Smart, Again!', 'Get Smart, Again!', 'Why Did I Get Married?', 'Why Did I Get Married Too?']"
7,Babe,"['Babe', 'Babe', 'Babe', 'Babe: Pig in the City', 'Toy Story']"
8,Mortal Kombat,"['Mortal Kombat', 'Mortal Kombat: Annihilation', 'Mortal Kombat: Annihilation', 'Toy Story', 'Grumpier Old Men']"
9,Pocahontas,"['Pocahontas', 'Pocahontas', 'Pocahontas', 'Pocahontas II: Journey to a New World', 'Pocahontas II: Journey to a New World']"
10,Lawnmower Man 2: Beyond Cyberspace,"['The Lawnmower Man', 'The Lawnmower Man', 'The Lawnmower Man', 'The Lawnmower Man', 'The Lawnmower Man']"
11,Friday,"['Next Friday', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th']"
12,From Dusk Till Dawn,"['From Dusk Till Dawn', 'From Dusk Till Dawn', 'From Dusk Till Dawn', 'From Dusk Till Dawn 2: Texas Blood Money', 'From Dusk Till Dawn 2: Texas Blood Money']"
13,Screamers,"['Screamers', 'Screamers', 'Screamers', 'Screamers', 'Screamers']"
14,Muppet Treasure Island,"['Muppet Treasure Island', 'Muppet Treasure Island', 'The Muppet Movie', 'The Muppet Movie', 'Charlie Chan at Treasure Island']"
15,The NeverEnding Story III,"['The NeverEnding Story III', 'The NeverEnding Story III', 'The NeverEnding Story III', 'The NeverEnding Story III', 'The NeverEnding Story III']"
16,Bad Boys,"['Bad Boys', 'Bad Boys II', 'Bad Boys II', 'Bad Boys for Life', 'Bad Boys for Life']"
17,Batman Forever,"['Batman Forever', 'Batman Forever', 'Batman Forever', 'Batman', 'Batman']"
18,Blue in the Face,"['Blue in the Face', 'Blue in the Face', 'Blue in the Face', 'Death Wish 5: The Face of Death', 'Death Wish 5: The Face of Death']"
19,Casper,"['Casper', 'Casper', 'Casper: A Spirited Beginning', ""Casper's Haunted Christmas"", 'Casper Meets Wendy']"
20,Desperado,"['Desperado', 'Toy Story', 'Grumpier Old Men', 'Grumpier Old Men', 'Father of the Bride Part II']"
