,pelicula_id,director,titulo_original,recaudacion,fecha_realizacion,presupuesto,ganancia
0,862,John Lasseter,Toy Story,373554033.0,1995-10-30,30000000.0,12.4518011
117,15602,Howard Deutch,Grumpier Old Men,0.0,1995-12-22,0.0,0.0
229,11862,Charles Shyer,Father of the Bride Part II,76578911.0,1995-02-10,0.0,inf
277,710,Martin Campbell,GoldenEye,352194034.0,1995-11-16,58000000.0,6.072310931034483
8917,21032,Simon Wells,Balto,11348324.0,1995-12-22,0.0,inf
9970,9273,Steve Oedekerk,Ace Ventura: When Nature Calls,212385533.0,1995-11-10,30000000.0,7.079517766666667
11185,8012,Barry Sonnenfeld,Get Shorty,115101622.0,1995-10-20,30250000.0,3.805012297520661
11761,9598,Chris Noonan,Babe,254134910.0,1995-07-18,30000000.0,8.471163666666667
16369,9312,Paul W.S. Anderson,Mortal Kombat,122195920.0,1995-08-18,18000000.0,6.788662222222222
16545,10530,Mike Gabriel,Pocahontas,346079773.0,1995-06-14,55000000.0,6.292359509090909
16553,10530,Eric Goldberg,Pocahontas,346079773.0,1995-06-14,55000000.0,6.292359509090909
18593,11525,Farhad Mann,Lawnmower Man 2: Beyond Cyberspace,2409225.0,1996-01-12,0.0,inf
18713,10634,F. Gary Gray,Friday,28215918.0,1995-04-26,3500000.0,8.061690857142857
18731,755,Robert Rodriguez,From Dusk Till Dawn,25836616.0,1996-01-19,19000000.0,1.359821894736842
35627,9102,Christian Duguay,Screamers,5781885.0,1995-09-08,20000000.0,0.28909425
47291,10874,Brian Henson,Muppet Treasure Island,34327391.0,1996-02-16,0.0,inf
49991,27793,Peter MacDonald,The NeverEnding Story III,0.0,1994-10-26,17000000.0,0.0
51391,9737,Michael Bay,Bad Boys,141407024.0,1995-04-07,19000000.0,7.442474947368421
53439,414,Joel Schumacher,Batman Forever,336529144.0,1995-06-16,100000000.0,3.36529144
55887,5894,Paul Auster,Blue in the Face,1275000.0,1995-09-15,2000000.0,0.6375
55889,5894,Wayne Wang,Blue in the Face,1275000.0,1995-09-15,2000000.0,0.6375
56047,8839,Brad Silberling,Casper,287928194.0,1995-05-26,50000000.0,5.75856388
58801,8068,Robert Rodriguez,Desperado,25405445.0,1995-08-25,7000000.0,3.6293492857142855
59377,1572,John McTiernan,Die Hard: With a Vengeance,366101666.0,1995-05-19,90000000.0,4.067796288888889
60193,13552,Gregg Araki,The Doom Generation,0.0,1995-10-27,0.0,0.0
74529,9073,Dwight H. Little,Free Willy 2 - The Adventure Home,0.0,1995-07-19,0.0,0.0
77529,9070,Bryan Spicer,Mighty Morphin Power Rangers: The Movie,66000000.0,1995-06-30,15000000.0,4.4
88329,1642,Irwin Winkler,The Net,110627965.0,1995-07-28,22000000.0,5.028543863636363
89929,11980,Gregory Widen,The Prophecy,16.0,1995-09-01,8.0,2.0
90010,10802,Paul Verhoeven,Showgirls,20350754.0,1995-09-22,45000000.0,0.4522389777777778
90838,10149,Wayne Wang,Smoke,8349430.0,1995-06-09,7000000.0,1.1927757142857145
90844,10149,Paul Auster,Smoke,8349430.0,1995-06-09,7000000.0,1.1927757142857145
