,titulo_original,duracion,año_realizacion
0,Toy Story,81.0,1995
3,Grumpier Old Men,101.0,1995
7,Father of the Bride Part II,106.0,1995
9,GoldenEye,130.0,1995
45,Balto,78.0,1995
54,Ace Ventura: When Nature Calls,90.0,1995
63,Get Shorty,105.0,1995
69,Babe,89.0,1995
85,Mortal Kombat,101.0,1995
89,Pocahontas,81.0,1995
97,Lawnmower Man 2: Beyond Cyberspace,92.0,1996
101,Friday,91.0,1995
102,From Dusk Till Dawn,108.0,1996
134,Screamers,108.0,1995
170,Muppet Treasure Island,100.0,1996
185,The NeverEnding Story III,95.0,1994
195,Bad Boys,118.0,1995
203,Batman Forever,121.0,1995
215,Blue in the Face,83.0,1995
217,Casper,100.0,1995
226,Desperado,104.0,1995
232,Die Hard: With a Vengeance,128.0,1995
244,The Doom Generation,80.0,1995
276,Free Willy 2 - The Adventure Home,95.0,1995
306,Mighty Morphin Power Rangers: The Movie,92.0,1995
336,The Net,114.0,1995
346,The Prophecy,98.0,1995
349,Showgirls,128.0,1995
355,Smoke,112.0,1995
361,Species,108.0,1995
364,Under Siege 2: Dark Territory,100.0,1995
374,Утомлённые солнцем,135.0,1994
380,Before Sunrise,105.0,1995
416,Clerks,92.0,1994
418,Dumb and Dumber,107.0,1994
420,A Goofy Movie,78.0,1995
425,Interview with the Vampire,123.0,1994
429,Star Wars,121.0,1977
435,Nemesis 2 - Nebula,83.0,1995
441,Once Were Warriors,99.0,1994
447,Poison Ivy II: Lily,106.0,1996
456,Trois couleurs : Rouge,99.0,1994
492,Trois couleurs : Bleu,98.0,1993
516,Trois couleurs : Blanc,91.0,1994
570,The Swan Princess,89.0,1994
571,The Santa Clause,97.0,1994
579,Tales from the Crypt: Demon Knight,92.0,1995
585,Star Trek: Generations,118.0,1994
589,Ace Ventura: Pet Detective,86.0,1994
593,Clear and Present Danger,141.0,1994
599,The Crow,102.0,1994
614,The Flintstones,91.0,1994
623,The Lion King,89.0,1994
629,New Nightmare,112.0,1994
633,The Mask,101.0,1994
649,The Naked Gun 33⅓: The Final Insult,83.0,1994
651,Ri¢hie Ri¢h,95.0,1994
663,Speed,116.0,1994
666,Timecop,99.0,1994
714,Street Fighter,102.0,1994
738,The Fear,98.0,1995
742,Highlander III: The Sorcerer,99.0,1994
778,Addams Family Values,94.0,1993
787,Another Stakeout,105.0,1993
789,Beverly Hills Cop III,104.0,1994
795,City Slickers II: The Legend of Curly's Gold,116.0,1994
819,The Endless Summer 2,109.0,1994
820,Free Willy,112.0,1993
840,The Fugitive,130.0,1993
845,Hard Target,97.0,1993
857,Hot Shots! Part Deux,86.0,1993
863,House Party 3,100.0,1994
864,Jurassic Park,127.0,1993
872,The Next Karate Kid,107.0,1994
873,RoboCop 3,104.0,1993
883,The Secret Garden,102.0,1993
889,The Shadow,108.0,1994
894,Blade Runner,117.0,1982
1029,The Brady Bunch Movie,84.0,1995
1033,Home Alone,103.0,1990
1037,Aladdin,90.0,1992
1043,Terminator 2: Judgment Day,137.0,1991
1103,Batman,126.0,1989
1127,The Silence of the Lambs,119.0,1991
1133,Beauty and the Beast,84.0,1991
1163,Candyman: Farewell to the Flesh,93.0,1995
1165,Homeward Bound II: Lost in San Francisco,89.0,1996
1173,Heavy Metal,90.0,1981
1177,Hellraiser: Bloodline,86.0,1996
1186,All Dogs Go to Heaven 2,82.0,1996
1191,Mission: Impossible,110.0,1996
1209,DragonHeart,103.0,1996
1210,Bloodsport II,90.0,1996
1212,পথের পাঁচালী,125.0,1955
1213,অপুর সংসার,117.0,1959
1214,"Alphaville, une étrange aventure de Lemmy Caution",100.0,1965
1232,The Substitute,114.0,1996
1236,Les visiteurs,107.0,1993
1245,GHOST IN THE SHELL,83.0,1995
1254,A Close Shave,30.0,1995
1257,The Arrival,115.0,1996
1281,Touki-Bouki,85.0,1973
1293,Trainspotting,93.0,1996
1303,Independence Day,145.0,1996
1309,The Hunchback of Notre Dame,91.0,1996
1315,The Nutty Professor,95.0,1996
1323,A Very Brady Sequel,90.0,1996
1324,The Crow: City of Angels,84.0,1996
1330,Bordello of Blood,87.0,1996
1342,Escape from L.A.,97.0,1996
1350,The Godfather,175.0,1972
1362,警察故事 III：超級警察,95.0,1992
1386,超级计划,104.0,1993
1389,The Land Before Time III: The Time of the Great Giving,71.0,1995
1392,Halloween: The Curse of Michael Myers,88.0,1995
