,franquicia,titulo_original,recaudacion
0,Toy Story Collection,Toy Story,373554033.0
3,Grumpy Old Men Collection,Grumpier Old Men,0.0
7,Father of the Bride Collection,Father of the Bride Part II,76578911.0
9,James Bond Collection,GoldenEye,352194034.0
45,Balto Collection,Balto,11348324.0
54,Ace Ventura Collection,Ace Ventura: When Nature Calls,212385533.0
63,Chili Palmer Collection,Get Shorty,115101622.0
69,Babe Collection,Babe,254134910.0
85,Mortal Kombat Collection,Mortal Kombat,122195920.0
89,Pocahontas Collection,Pocahontas,346079773.0
97,The Lawnmower Man Collection,Lawnmower Man 2: Beyond Cyberspace,2409225.0
101,Friday Collection,Friday,28215918.0
102,From Dusk Till Dawn Collection,From Dusk Till Dawn,25836616.0
134,Screamers Collection,Screamers,5781885.0
170,The Muppet Collection,Muppet Treasure Island,34327391.0
185,The Neverending Story Collection,The NeverEnding Story III,0.0
195,Bad Boys Collection,Bad Boys,141407024.0
203,Batman Collection,Batman Forever,336529144.0
215,Brooklyn Cigar Store Collection,Blue in the Face,1275000.0
217,Casper Collection,Casper,287928194.0
226,Mexico Trilogy,Desperado,25405445.0
232,Die Hard Collection,Die Hard: With a Vengeance,366101666.0
244,Teenage Apocalypse Trilogy,The Doom Generation,0.0
276,Free Willy Collection,Free Willy 2 - The Adventure Home,0.0
306,Power Rangers Collection,Mighty Morphin Power Rangers: The Movie,66000000.0
336,Síť (kolekce),The Net,110627965.0
346,The Prophecy Collection,The Prophecy,16.0
349,Showgirls Collection,Showgirls,20350754.0
355,Brooklyn Cigar Store Collection,Smoke,8349430.0
361,Species Collection,Species,113374103.0
364,Under Siege Collection,Under Siege 2: Dark Territory,104324083.0
374,Burnt by the Sun Trilogy,Утомлённые солнцем,2616503.0
380,Before... Collection,Before Sunrise,5535405.0
416,Clerks Collection,Clerks,3151130.0
418,Dumb and Dumber Collection,Dumb and Dumber,247275374.0
420,A Goofy Movie Collection,A Goofy Movie,35348597.0
425,The Vampire Chronicles,Interview with the Vampire,223664608.0
429,Star Wars Collection,Star Wars,775398007.0
435,Nemesis Collection,Nemesis 2 - Nebula,0.0
441,Once were Warriors Collection,Once Were Warriors,2201126.0
447,Poison Ivy Collection,Poison Ivy II: Lily,0.0
456,Three Colors Collection,Trois couleurs : Rouge,0.0
492,Three Colors Collection,Trois couleurs : Bleu,0.0
516,Three Colors Collection,Trois couleurs : Blanc,0.0
570,Swan Princess Series,The Swan Princess,9771658.0
571,The Santa Clause Collection,The Santa Clause,189833357.0
579,Tales from the Crypt Collection,Tales from the Crypt: Demon Knight,0.0
585,Star Trek: The Next Generation Collection,Star Trek: Generations,120000000.0
589,Ace Ventura Collection,Ace Ventura: Pet Detective,107217396.0
593,The Jack Ryan Collection,Clear and Present Danger,215887717.0
599,The Crow Collection,The Crow,94000000.0
614,The Flintstones (Live-Action) Collection,The Flintstones,341631208.0
623,The Lion King Collection,The Lion King,788241776.0
629,A Nightmare on Elm Street Collection,New Nightmare,18090181.0
633,The Mask Collection,The Mask,351583407.0
649,Naked Gun Collection,The Naked Gun 33⅓: The Final Insult,51132598.0
651,Richie Rich Collection,Ri¢hie Ri¢h,0.0
663,Speed Collection,Speed,350448145.0
666,Timecop Collection,Timecop,101646581.0
714,Street Fighter,Street Fighter,99423521.0
738,Fear Collection,The Fear,0.0
742,Highlander Collection,Highlander III: The Sorcerer,36800000.0
778,Addams Family Collection,Addams Family Values,48919043.0
787,Stakeout Collection,Another Stakeout,0.0
789,Beverly Hills Cop Collection,Beverly Hills Cop III,119208989.0
795,City Slickers Collection,City Slickers II: The Legend of Curly's Gold,0.0
819,The Endless Summer Collection,The Endless Summer 2,0.0
820,Free Willy Collection,Free Willy,153698625.0
