,idioma_original
0,en
1,en
2,en
3,en
4,en
5,en
6,en
7,en
8,en
9,en
10,en
11,en
12,en
13,en
14,en
15,en
16,en
17,en
18,en
19,en
20,en
21,en
22,en
23,en
24,en
25,en
26,en
27,en
28,en
29,en
30,en
31,en
32,en
33,en
34,en
35,en
36,en
37,en
38,en
39,en
40,en
41,en
42,en
43,en
44,en
45,en
46,en
47,en
48,en
49,en
50,en
51,en
52,en
53,en
54,en
55,en
56,en
57,en
58,en
59,en
60,en
61,en
62,en
63,en
64,en
65,en
66,en
67,en
68,en
69,en
70,en
71,en
72,en
73,en
74,en
75,en
76,en
77,en
78,en
79,en
80,en
81,en
82,en
83,en
84,en
85,en
86,en
87,en
88,en
89,en
90,en
91,en
92,en
93,en
94,en
95,en
96,en
97,en
98,en
99,en
100,en
101,en
102,en
103,en
104,en
105,en
106,en
107,en
108,en
109,en
110,en
111,en
112,en
113,en
114,en
115,en
116,en
117,en
118,en
119,en
120,en
121,en
122,en
123,en
124,en
125,en
126,en
127,en
128,en
129,en
130,en
131,en
132,en
133,en
134,en
135,en
136,en
137,en
138,en
139,en
140,en
141,en
142,en
143,en
144,en
145,en
146,en
147,en
148,en
149,en
150,en
151,en
152,en
153,en
154,en
155,en
156,en
157,en
158,en
159,en
160,en
161,en
162,en
163,en
164,en
165,en
166,en
167,en
168,en
169,en
170,en
171,en
172,en
173,en
174,en
175,en
176,en
177,en
178,en
179,en
180,en
181,en
182,en
183,en
184,en
185,en
186,en
187,en
188,en
189,en
190,en
191,en
192,en
193,en
194,en
195,en
196,en
197,en
198,en
199,en
200,en
201,en
202,en
203,en
204,en
205,en
206,en
207,en
208,en
209,en
210,en
211,en
212,en
213,en
214,en
215,en
216,en
217,en
218,en
219,en
220,en
221,en
222,en
223,en
224,en
225,en
226,en
227,en
228,en
229,en
230,en
231,en
232,en
233,en
234,en
235,en
236,en
237,en
238,en
239,en
240,en
241,en
242,en
243,en
244,en
245,en
246,en
247,en
248,en
249,en
250,en
251,en
252,en
253,en
254,en
255,en
256,en
257,en
258,en
259,en
260,en
261,en
262,en
263,en
264,en
265,en
266,en
267,en
268,en
269,en
270,en
271,en
272,en
273,en
274,en
275,en
276,en
277,en
278,en
279,en
280,en
281,en
282,en
283,en
284,en
285,en
286,en
287,en
288,en
289,en
290,en
291,en
292,en
293,en
294,en
295,en
296,en
297,en
298,en
299,en
300,en
301,en
302,en
303,en
304,en
305,en
306,en
307,en
308,en
309,en
310,en
311,en
312,en
313,en
314,en
315,en
316,en
317,en
318,en
319,en
320,en
321,en
322,en
323,en
324,en
325,en
326,en
327,en
328,en
329,en
330,en
331,en
332,en
333,en
334,en
335,en
336,en
337,en
338,en
339,en
340,en
341,en
342,en
343,en
344,en
345,en
346,en
347,en
348,en
349,en
350,en
351,en
352,en
353,en
354,en
355,en
356,en
357,en
358,en
359,en
360,en
361,en
362,en
363,en
364,en
365,en
366,en
367,en
368,en
369,en
370,en
371,en
372,en
373,en
374,ru
375,ru
376,ru
377,ru
378,ru
379,ru
380,en
381,en
382,en
383,en
384,en
385,en
386,en
387,en
388,en
389,en
390,en
391,en
392,en
393,en
394,en
395,en
396,en
397,en
398,en
399,en
400,en
401,en
402,en
403,en
404,en
405,en
406,en
407,en
408,en
409,en
410,en
411,en
412,en
413,en
414,en
415,en
416,en
417,en
418,en
419,en
420,en
421,en
422,en
423,en
424,en
425,en
426,en
427,en
428,en
429,en
430,en
431,en
432,en
433,en
434,en
435,en
436,en
437,en
438,en
439,en
440,en
441,en
442,en
443,en
444,en
445,en
446,en
447,en
448,en
449,en
450,en
451,en
452,en
453,en
454,en
455,en
456,fr
457,fr
458,fr
459,fr
460,fr
461,fr
462,fr
463,fr
464,fr
465,fr
466,fr
467,fr
468,fr
469,fr
470,fr
471,fr
472,fr
473,fr
474,fr
475,fr
476,fr
477,fr
478,fr
479,fr
480,fr
481,fr
482,fr
483,fr
484,fr
485,fr
486,fr
487,fr
488,fr
489,fr
490,fr
491,fr
492,fr
493,fr
494,fr
495,fr
496,fr
497,fr
498,fr
499,fr
500,fr
501,fr
502,fr
503,fr
504,fr
505,fr
506,fr
507,fr
508,fr
509,fr
510,fr
511,fr
512,fr
513,fr
514,fr
515,fr
516,fr
517,fr
518,fr
519,fr
520,fr
521,fr
522,fr
523,fr
524,fr
525,fr
526,fr
527,fr
528,fr
529,fr
530,fr
531,fr
532,fr
533,fr
534,fr
535,fr
536,fr
537,fr
538,fr
539,fr
540,fr
541,fr
542,fr
543,fr
544,fr
545,fr
546,fr
547,fr
548,fr
549,fr
550,fr
551,fr
552,fr
553,fr
554,fr
555,fr
556,fr
557,fr
558,fr
559,fr
560,fr
561,fr
562,fr
563,fr
564,fr
565,fr
566,fr
567,fr
568,fr
569,fr
570,en
571,en
572,en
573,en
574,en
575,en
576,en
577,en
578,en
579,en
580,en
581,en
582,en
583,en
584,en
585,en
586,en
587,en
588,en
589,en
590,en
591,en
592,en
593,en
594,en
595,en
596,en
597,en
598,en
599,en
600,en
601,en
602,en
603,en
604,en
605,en
606,en
607,en
608,en
609,en
610,en
611,en
612,en
613,en
614,en
615,en
616,en
617,en
618,en
619,en
620,en
621,en
622,en
623,en
624,en
625,en
626,en
627,en
628,en
629,en
630,en
631,en
632,en
633,en
634,en
635,en
636,en
637,en
638,en
639,en
640,en
641,en
642,en
643,en
644,en
645,en
646,en
647,en
648,en
649,en
650,en
651,en
652,en
653,en
654,en
655,en
656,en
657,en
658,en
659,en
660,en
661,en
662,en
663,en
664,en
665,en
666,en
667,en
668,en
669,en
670,en
671,en
672,en
673,en
674,en
675,en
676,en
677,en
678,en
679,en
680,en
681,en
682,en
683,en
684,en
685,en
686,en
687,en
688,en
689,en
690,en
691,en
692,en
693,en
694,en
695,en
696,en
697,en
698,en
699,en
700,en
701,en
702,en
703,en
704,en
705,en
706,en
707,en
708,en
709,en
710,en
711,en
712,en
713,en
714,en
715,en
716,en
717,en
718,en
719,en
720,en
721,en
722,en
723,en
724,en
725,en
