,titulo_original,pais
0,Toy Story,United States of America
3,Grumpier Old Men,United States of America
7,Father of the Bride Part II,United States of America
9,GoldenEye,United Kingdom
12,GoldenEye,United States of America
45,Balto,United States of America
54,Ace Ventura: When Nature Calls,United States of America
63,Get Shorty,United States of America
69,Babe,Australia
70,Babe,United States of America
85,Mortal Kombat,United States of America
89,Pocahontas,United States of America
97,Lawnmower Man 2: Beyond Cyberspace,United States of America
101,Friday,United States of America
102,From Dusk Till Dawn,United States of America
134,Screamers,Canada
135,Screamers,Japan
136,Screamers,United States of America
170,Muppet Treasure Island,United States of America
185,The NeverEnding Story III,Germany
186,The NeverEnding Story III,United States of America
195,Bad Boys,United States of America
203,Batman Forever,United Kingdom
204,Batman Forever,United States of America
215,Blue in the Face,United States of America
217,Casper,United States of America
226,Desperado,United States of America
232,Die Hard: With a Vengeance,United States of America
244,The Doom Generation,France
245,The Doom Generation,United States of America
276,Free Willy 2 - The Adventure Home,France
279,Free Willy 2 - The Adventure Home,United States of America
306,Mighty Morphin Power Rangers: The Movie,Japan
307,Mighty Morphin Power Rangers: The Movie,United States of America
336,The Net,United States of America
346,The Prophecy,United States of America
349,Showgirls,France
350,Showgirls,United States of America
355,Smoke,Germany
356,Smoke,Japan
357,Smoke,United States of America
361,Species,United States of America
364,Under Siege 2: Dark Territory,United States of America
374,Утомлённые солнцем,France
375,Утомлённые солнцем,Russia
380,Before Sunrise,Austria
383,Before Sunrise,Switzerland
386,Before Sunrise,United States of America
416,Clerks,United States of America
418,Dumb and Dumber,United States of America
420,A Goofy Movie,United States of America
425,Interview with the Vampire,United States of America
429,Star Wars,United States of America
435,Nemesis 2 - Nebula,United States of America
441,Once Were Warriors,New Zealand
447,Poison Ivy II: Lily,United States of America
456,Trois couleurs : Rouge,France
457,Trois couleurs : Rouge,Poland
458,Trois couleurs : Rouge,Switzerland
492,Trois couleurs : Bleu,France
494,Trois couleurs : Bleu,Poland
516,Trois couleurs : Blanc,France
519,Trois couleurs : Blanc,Poland
570,The Swan Princess,United States of America
571,The Santa Clause,United States of America
579,Tales from the Crypt: Demon Knight,United States of America
585,Star Trek: Generations,United States of America
589,Ace Ventura: Pet Detective,United States of America
593,Clear and Present Danger,United States of America
599,The Crow,United States of America
614,The Flintstones,United States of America
623,The Lion King,United States of America
629,New Nightmare,United States of America
633,The Mask,United States of America
649,The Naked Gun 33⅓: The Final Insult,United States of America
651,Ri¢hie Ri¢h,United States of America
663,Speed,United States of America
666,Timecop,Japan
667,Timecop,United States of America
714,Street Fighter,Japan
716,Street Fighter,United States of America
738,The Fear,United States of America
742,Highlander III: The Sorcerer,Canada
743,Highlander III: The Sorcerer,France
744,Highlander III: The Sorcerer,United Kingdom
778,Addams Family Values,United States of America
787,Another Stakeout,United States of America
789,Beverly Hills Cop III,United States of America
795,City Slickers II: The Legend of Curly's Gold,United States of America
819,The Endless Summer 2,United States of America
820,Free Willy,France
821,Free Willy,United States of America
840,The Fugitive,United States of America
845,Hard Target,United States of America
857,Hot Shots! Part Deux,United States of America
863,House Party 3,
864,Jurassic Park,United States of America
872,The Next Karate Kid,United States of America
873,RoboCop 3,United States of America
883,The Secret Garden,United States of America
889,The Shadow,United States of America
894,Blade Runner,United States of America
899,Blade Runner,Hong Kong
904,Blade Runner,United Kingdom
1029,The Brady Bunch Movie,United States of America
1033,Home Alone,United States of America
1037,Aladdin,United States of America
1043,Terminator 2: Judgment Day,France
1045,Terminator 2: Judgment Day,United States of America
1103,Batman,United Kingdom
1105,Batman,United States of America
1127,The Silence of the Lambs,United States of America
1133,Beauty and the Beast,United States of America
1163,Candyman: Farewell to the Flesh,United States of America
1165,Homeward Bound II: Lost in San Francisco,Canada
1166,Homeward Bound II: Lost in San Francisco,United States of America
1173,Heavy Metal,Canada
1177,Hellraiser: Bloodline,United States of America
1186,All Dogs Go to Heaven 2,United States of America
1191,Mission: Impossible,United States of America
1209,DragonHeart,United States of America
1210,Bloodsport II,United States of America
1212,পথের পাঁচালী,India
1213,অপুর সংসার,India
1214,"Alphaville, une étrange aventure de Lemmy Caution",Italy
1215,"Alphaville, une étrange aventure de Lemmy Caution",France
1232,The Substitute,United States of America
1236,Les visiteurs,France
1245,GHOST IN THE SHELL,Japan
1254,A Close Shave,United Kingdom
1257,The Arrival,Mexico
1258,The Arrival,United States of America
1281,Touki-Bouki,Senegal
1293,Trainspotting,United Kingdom
1303,Independence Day,United States of America
1309,The Hunchback of Notre Dame,United States of America
1315,The Nutty Professor,United States of America
1323,A Very Brady Sequel,United States of America
1324,The Crow: City of Angels,United States of America
1330,Bordello of Blood,United States of America
1342,Escape from L.A.,United States of America
1350,The Godfather,United States of America
1362,警察故事 III：超級警察,Hong Kong
1386,超级计划,Hong Kong
1389,The Land Before Time III: The Time of the Great Giving,United States of America
1392,Halloween: The Curse of Michael Myers,United States of America
1394,2001: A Space Odyssey,United States of America
1396,2001: A Space Odyssey,United Kingdom
1418,The Thin Man,United States of America
1421,Night of the Living Dead,United States of America
1425,Huang jia shi jie,Hong Kong
1429,D3: The Mighty Ducks,United States of America
1433,The Apple Dumpling Gang,United States of America
1437,"Davy Crockett, King of the Wild Frontier",United States of America
1445,Escape to Witch Mountain,United States of America
1449,The Love Bug,United States of America
1458,Herbie Rides Again,United States of America
1462,The Parent Trap,United States of America
1464,Homeward Bound: The Incredible Journey,United States of America
1472,The Shaggy Dog,United States of America
1474,Cinderella,United States of America
1482,The Three Caballeros,United States of America
1491,The Fox and the Hound,United States of America
1495,Freeway,United States of America
1504,Die Hard,United States of America
1522,The Lawnmower Man,United Kingdom
1523,The Lawnmower Man,Japan
1524,The Lawnmower Man,United States of America
1540,Aladdin and the King of Thieves,United States of America
1543,Dirty Dancing,United States of America
1549,Weekend at Bernie's,United States of America
1550,Basic Instinct,France
1551,Basic Instinct,United States of America
1562,Children of the Corn IV: The Gathering,United States of America
1563,The Return of the Pink Panther,United Kingdom
1575,Escape from New York,United States of America
1583,The Howling,United States of America
1589,Jean de Florette,France
1601,Manon des Sources,France
1606,The Wrong Trousers,United Kingdom
1609,Best of the Best 3: No Turning Back,United States of America
1610,Up in Smoke,United States of America
1611,The Empire Strikes Back,United States of America
