,pelicula_id,compañia,recaudacion
0,862,Pixar Animation Studios,373554033.0
3,15602,Warner Bros.,0.0
4,15602,Lancaster Gate,0.0
7,11862,Sandollar Productions,76578911.0
8,11862,Touchstone Pictures,76578911.0
9,710,United Artists,352194034.0
15,710,Eon Productions,352194034.0
45,21032,Universal Pictures,11348324.0
46,21032,Amblin Entertainment,11348324.0
47,21032,Amblimation,11348324.0
54,9273,O Entertainment,212385533.0
55,9273,Warner Bros.,212385533.0
56,9273,Morgan Creek Productions,212385533.0
63,8012,Jersey Films,115101622.0
64,8012,Metro-Goldwyn-Mayer (MGM),115101622.0
69,9598,Universal Pictures,254134910.0
71,9598,Kennedy Miller Productions,254134910.0
85,9312,New Line Cinema,122195920.0
86,9312,Threshold Entertainment,122195920.0
89,10530,Walt Disney Pictures,346079773.0
90,10530,Walt Disney Feature Animation,346079773.0
97,11525,New Line Cinema,2409225.0
101,10634,New Line Cinema,28215918.0
102,755,A Band Apart,25836616.0
104,755,Dimension Films,25836616.0
106,755,Los Hooligans Productions,25836616.0
108,755,Miramax,25836616.0
134,9102,The Movie Network (TMN),5781885.0
137,9102,Allegro Films,5781885.0
140,9102,Fuji Eight Company Ltd.,5781885.0
143,9102,Fries Film Group,5781885.0
146,9102,Super Ecran,5781885.0
149,9102,Triumph Films,5781885.0
170,10874,Walt Disney Pictures,34327391.0
171,10874,Jim Henson Productions,34327391.0
172,10874,"Jim Henson Company, The",34327391.0
185,27793,Studio Babelsberg,0.0
187,27793,Dieter Geissler Filmproduktion,0.0
189,27793,Cinevox Filmproduktion GmbH,0.0
191,27793,Warner Bros.,0.0
193,27793,Miramax,0.0
195,9737,Columbia Pictures,141407024.0
196,9737,Don Simpson/Jerry Bruckheimer Films,141407024.0
203,414,Warner Bros.,336529144.0
205,414,Polygram Filmed Entertainment,336529144.0
215,5894,Miramax Films,1275000.0
216,5894,InterAL,1275000.0
217,8839,Universal Pictures,287928194.0
218,8839,Amblin Entertainment,287928194.0
219,8839,The Harvey Entertainment Company,287928194.0
226,8068,Columbia Pictures,25405445.0
227,8068,Los Hooligans Productions,25405445.0
232,1572,Twentieth Century Fox Film Corporation,366101666.0
235,1572,Cinergi Pictures Entertainment,366101666.0
244,13552,Why Not Productions,0.0
246,13552,Desperate Pictures,0.0
248,13552,Blurco,0.0
250,13552,The Teen Angst Movie Company,0.0
276,9073,Regency Enterprises,0.0
282,9073,Alcor Films,0.0
288,9073,Canal+,0.0
294,9073,Donner/Shuler-Donner Productions,0.0
300,9073,Warner Bros.,0.0
306,9070,Twentieth Century Fox Film Corporation,66000000.0
308,9070,Saban Entertainment,66000000.0
